id,path,status,owner
HDC-0001,HDC/00_OVERVIEW/Development_Operating_System.md,active,Founder / Chief Architect
HDC-0002,HDC/01_CONSTITUTION/01_Development_Constitution.md,active,Founder / Chief Architect
HDC-0003,HDC/02_CODEX_RULES/02_Codex_Rules.md,active,Founder / Chief Architect
HDC-0004,HDC/03_TASK_WORKFLOW/03_Task_Workflow.md,active,Founder / Chief Architect
HDC-0005,HDC/04_APPROVAL_PROCESS/04_Approval_Process.md,active,Founder / Chief Architect
HDC-0006,HDC/05_DEFINITION_OF_DONE/05_Definition_of_Done.md,active,Founder / Chief Architect
HDC-0007,HDC/06_TESTING_STANDARDS/06_Testing_Standards.md,active,Founder / Chief Architect
HDC-0008,HDC/07_CODE_REVIEW/07_Code_Review.md,active,Founder / Chief Architect
HDC-0009,HDC/08_ARCHITECTURE_GUARDRAILS/08_Architecture_Guardrails.md,active,Founder / Chief Architect
HDC-0010,HDC/09_EMERGENCY_PROCEDURES/09_Emergency_Procedures.md,active,Founder / Chief Architect
HDC-0011,HDC/10_PROJECT_COMMANDMENTS/10_Project_Commandments.md,active,Founder / Chief Architect
HDC-0012,HDC/11_TASK_TEMPLATES/HQ_TASK_0000_Repository_Validation.md,active,Founder / Chief Architect
HDC-0013,HDC/11_TASK_TEMPLATES/HQ_TASK_0001_Monorepo_Bootstrap.md,active,Founder / Chief Architect
HDC-0014,HDC/11_TASK_TEMPLATES/HQ_Task_Template.md,active,Founder / Chief Architect
HDC-0015,HDC/12_ACR/Architecture_Change_Request_Template.md,active,Founder / Chief Architect
HDC-0016,HDC/13_CHANGELOG/CHANGELOG_HDC_v0_1.md,active,Founder / Chief Architect
HDC-0017,HDC/README.md,active,Founder / Chief Architect
