source,source_title,dependency
12_LEGACY/Founder/REC-0794_Founder_Questions.md,REC-0794 — Founder Questions,HQOS
12_LEGACY/Founder/REC-0794_Founder_Questions.md,REC-0794 — Founder Questions,Interface System
12_LEGACY/Founder/REC-0794_Founder_Questions.md,REC-0794 — Founder Questions,Archives
12_LEGACY/Founder/REC-0794_Founder_Questions.md,REC-0794 — Founder Questions,Master Index
12_LEGACY/Founder/REC-0795_Founders_Journal.md,REC-0795 — Founders Journal,HQOS
12_LEGACY/Founder/REC-0795_Founders_Journal.md,REC-0795 — Founders Journal,Interface System
12_LEGACY/Founder/REC-0795_Founders_Journal.md,REC-0795 — Founders Journal,Archives
12_LEGACY/Founder/REC-0795_Founders_Journal.md,REC-0795 — Founders Journal,Master Index
12_LEGACY/Evolution/PH4-0020_Headquarters_Naming_Evolution.md,PH4-0020 — Headquarters Naming Evolution,HQOS State Engine
12_LEGACY/Evolution/PH4-0020_Headquarters_Naming_Evolution.md,PH4-0020 — Headquarters Naming Evolution,Mission Lifecycle
12_LEGACY/Evolution/PH4-0020_Headquarters_Naming_Evolution.md,PH4-0020 — Headquarters Naming Evolution,Operator Model
12_LEGACY/Evolution/PH4-0020_Headquarters_Naming_Evolution.md,PH4-0020 — Headquarters Naming Evolution,Archives
12_LEGACY/Evolution/PH4-0020_Headquarters_Naming_Evolution.md,PH4-0020 — Headquarters Naming Evolution,Doctrine Library
12_LEGACY/Evolution/PH6-0100_Headquarters_Evolution_Law.md,PH6-0100 — Headquarters Evolution Law,HQOS Event Bus
12_LEGACY/Evolution/PH6-0100_Headquarters_Evolution_Law.md,PH6-0100 — Headquarters Evolution Law,Mission Lifecycle
12_LEGACY/Evolution/PH6-0100_Headquarters_Evolution_Law.md,PH6-0100 — Headquarters Evolution Law,Operator Model
12_LEGACY/Evolution/PH6-0100_Headquarters_Evolution_Law.md,PH6-0100 — Headquarters Evolution Law,Archives
12_LEGACY/Evolution/PH6-0100_Headquarters_Evolution_Law.md,PH6-0100 — Headquarters Evolution Law,Doctrine Library
