path,issue_type,details
HDR/00_PROJECT/README.md,LOW_CONTENT,Only 37 words
HDR/00_PROJECT/README.md,MISSING_ID,Missing required metadata
HDR/00_PROJECT/Vision.md,MISSING_ID,Missing required metadata
HDR/00_PROJECT/Engineering_Decisions.md,MISSING_ID,Missing required metadata
HDR/00_PROJECT/Roadmap.md,MISSING_ID,Missing required metadata
HDR/00_PROJECT/Glossary.md,MISSING_ID,Missing required metadata
HDR/00_PROJECT/CHANGELOG.md,LOW_CONTENT,Only 33 words
HDR/00_PROJECT/CHANGELOG.md,MISSING_ID,Missing required metadata
HDR/00_PROJECT/Coverage_Audit_v0_2.md,MISSING_ID,Missing required metadata
HDR/00_PROJECT/CHANGELOG_v0_2.md,MISSING_ID,Missing required metadata
HDR/00_PROJECT/Coverage_Audit_v0_3.md,MISSING_ID,Missing required metadata
HDR/00_PROJECT/CHANGELOG_v0_3.md,LOW_CONTENT,Only 43 words
HDR/00_PROJECT/CHANGELOG_v0_3.md,MISSING_ID,Missing required metadata
HDR/00_PROJECT/CHANGELOG_v0_4.md,MISSING_ID,Missing required metadata
HDR/00_PROJECT/Coverage_Audit_v0_4_Phase_0_2.md,MISSING_ID,Missing required metadata
HDR/00_PROJECT/Coverage_Audit_v0_4_Phase_2_3.md,MISSING_ID,Missing required metadata
HDR/00_PROJECT/CHANGELOG_v0_5.md,MISSING_ID,Missing required metadata
HDR/00_PROJECT/Coverage_Audit_v0_5_Phase_3_4.md,MISSING_ID,Missing required metadata
HDR/00_PROJECT/Coverage_Audit_v0_7_corrected_Phase_5_6.md,MISSING_ID,Missing required metadata
HDR/00_PROJECT/CHANGELOG_v0_7_corrected.md,LOW_CONTENT,Only 76 words
HDR/00_PROJECT/CHANGELOG_v0_7_corrected.md,MISSING_ID,Missing required metadata
HDR/00_PROJECT/Master_Index_Supplement_v0_8.md,MISSING_ID,Missing required metadata
HDR/00_PROJECT/Coverage_Audit_v0_8_Phase_6_7x.md,MISSING_ID,Missing required metadata
HDR/00_PROJECT/CHANGELOG_v0_8.md,LOW_CONTENT,Only 44 words
HDR/00_PROJECT/CHANGELOG_v0_8.md,MISSING_ID,Missing required metadata
HDR/01_CONSTITUTION/Constitution.md,MISSING_ID,Missing required metadata
HDR/01_CONSTITUTION/Engineering_Commandments.md,MISSING_ID,Missing required metadata
HDR/01_CONSTITUTION/Rule_of_Elegance.md,MISSING_ID,Missing required metadata
HDR/01_CONSTITUTION/Founders_Principles.md,MISSING_ID,Missing required metadata
HDR/02_INSTITUTION/README.md,LOW_CONTENT,Only 14 words
HDR/02_INSTITUTION/README.md,MISSING_ID,Missing required metadata
HDR/02_INSTITUTION/Chain_of_Command.md,LOW_CONTENT,Only 62 words
HDR/02_INSTITUTION/Chain_of_Command.md,MISSING_ID,Missing required metadata
HDR/03_BUILDING/Headquarters.md,MISSING_ID,Missing required metadata
HDR/04_OPERATOR/Operator_Model.md,LOW_CONTENT,Only 49 words
HDR/04_OPERATOR/Operator_Model.md,MISSING_ID,Missing required metadata
HDR/04_OPERATOR/Professional_Joe.md,LOW_CONTENT,Only 52 words
HDR/04_OPERATOR/Professional_Joe.md,MISSING_ID,Missing required metadata
HDR/04_OPERATOR/Behavioral_Systems.md,LOW_CONTENT,Only 58 words
HDR/04_OPERATOR/Behavioral_Systems.md,MISSING_ID,Missing required metadata
HDR/04_OPERATOR/Stewardship.md,LOW_CONTENT,Only 36 words
HDR/04_OPERATOR/Stewardship.md,MISSING_ID,Missing required metadata
HDR/05_OPERATIONS/Mission_Lifecycle.md,LOW_CONTENT,Only 52 words
HDR/05_OPERATIONS/Mission_Lifecycle.md,MISSING_ID,Missing required metadata
HDR/05_OPERATIONS/Guardian_Protocol.md,MISSING_ID,Missing required metadata
HDR/05_OPERATIONS/Authorization.md,LOW_CONTENT,Only 56 words
HDR/05_OPERATIONS/Authorization.md,MISSING_ID,Missing required metadata
HDR/05_OPERATIONS/Debrief.md,LOW_CONTENT,Only 45 words
HDR/05_OPERATIONS/Debrief.md,MISSING_ID,Missing required metadata
HDR/05_OPERATIONS/Campaigns.md,LOW_CONTENT,Only 37 words
HDR/05_OPERATIONS/Campaigns.md,MISSING_ID,Missing required metadata
HDR/06_INTELLIGENCE/Cognitive_Architecture.md,LOW_CONTENT,Only 43 words
HDR/06_INTELLIGENCE/Cognitive_Architecture.md,MISSING_ID,Missing required metadata
HDR/06_INTELLIGENCE/AI_Systems.md,LOW_CONTENT,Only 42 words
HDR/06_INTELLIGENCE/AI_Systems.md,MISSING_ID,Missing required metadata
HDR/06_INTELLIGENCE/Behavioral_Black_Box.md,LOW_CONTENT,Only 64 words
HDR/06_INTELLIGENCE/Behavioral_Black_Box.md,MISSING_ID,Missing required metadata
HDR/06_INTELLIGENCE/Ghost.md,LOW_CONTENT,Only 48 words
HDR/06_INTELLIGENCE/Ghost.md,MISSING_ID,Missing required metadata
HDR/07_HQOS/HQOS.md,LOW_CONTENT,Only 53 words
HDR/07_HQOS/HQOS.md,MISSING_ID,Missing required metadata
HDR/07_HQOS/Event_Bus.md,LOW_CONTENT,Only 30 words
HDR/07_HQOS/Event_Bus.md,MISSING_ID,Missing required metadata
HDR/07_HQOS/State_Engine.md,LOW_CONTENT,Only 39 words
HDR/07_HQOS/State_Engine.md,MISSING_ID,Missing required metadata
HDR/08_ARCHIVES/Archives.md,LOW_CONTENT,Only 46 words
HDR/08_ARCHIVES/Archives.md,MISSING_ID,Missing required metadata
HDR/08_ARCHIVES/SQLite_Schema_Draft.md,LOW_CONTENT,Only 42 words
HDR/08_ARCHIVES/SQLite_Schema_Draft.md,MISSING_ID,Missing required metadata
HDR/09_INTERFACE/Interface_Principles.md,LOW_CONTENT,Only 40 words
HDR/09_INTERFACE/Interface_Principles.md,MISSING_ID,Missing required metadata
HDR/10_ENGINEERING/Architecture.md,LOW_CONTENT,Only 58 words
