id,title,current_path,target_volume,declared_target_path
REC-0600,REC-0600 — Headquarters Manifesto,HDR/13_PHASE_RECOVERY/Phase_06_to_07x/Constitution/REC-0600_Headquarters_Manifesto.md,01_CONSTITUTION,01_CONSTITUTION/Headquarters_Manifesto.md
REC-0602,REC-0602 — Command Chair Test,HDR/13_PHASE_RECOVERY/Phase_06_to_07x/Constitution/REC-0602_Command_Chair_Test.md,01_CONSTITUTION,01_CONSTITUTION/Command_Chair_Test.md
REC-0660,REC-0660 — Headquarters Culture,HDR/13_PHASE_RECOVERY/Phase_06_to_07x/Constitution/REC-0660_Headquarters_Culture.md,01_CONSTITUTION,05_OPERATIONS/Cycle_and_Trust/Headquarters_Culture.md
REC-0661,REC-0661 — Headquarters Covenant,HDR/13_PHASE_RECOVERY/Phase_06_to_07x/Constitution/REC-0661_Headquarters_Covenant.md,01_CONSTITUTION,05_OPERATIONS/Cycle_and_Trust/Headquarters_Covenant.md
REC-0662,REC-0662 — Four Pillars Truth Discipline Responsibility Improvement,HDR/13_PHASE_RECOVERY/Phase_06_to_07x/Constitution/REC-0662_Four_Pillars_Truth_Discipline_Responsibility_Improvement.md,01_CONSTITUTION,05_OPERATIONS/Cycle_and_Trust/Four_Pillars_Truth_Discipline_Responsibility_Improvement.md
REC-0750,REC-0750 — Rule of Elegance,HDR/13_PHASE_RECOVERY/Phase_06_to_07x/Constitution/REC-0750_Rule_of_Elegance.md,01_CONSTITUTION,01_CONSTITUTION/Rule_of_Elegance.md
REC-0751,REC-0751 — Five Gates Feature Review,HDR/13_PHASE_RECOVERY/Phase_06_to_07x/Constitution/REC-0751_Five_Gates_Feature_Review.md,01_CONSTITUTION,01_CONSTITUTION/Five_Gates_Feature_Review.md
REC-0752,REC-0752 — Anti Feature List,HDR/13_PHASE_RECOVERY/Phase_06_to_07x/Constitution/REC-0752_Anti_Feature_List.md,01_CONSTITUTION,01_CONSTITUTION/Anti_Feature_List.md
REC-0601,REC-0601 — Minimum Viable Institution,HDR/13_PHASE_RECOVERY/Phase_06_to_07x/Engineering/REC-0601_Minimum_Viable_Institution.md,10_ENGINEERING,10_ENGINEERING/Minimum_Viable_Institution.md
REC-0770,REC-0770 — HDR Repository Process,HDR/13_PHASE_RECOVERY/Phase_06_to_07x/Engineering/REC-0770_HDR_Repository_Process.md,10_ENGINEERING,10_ENGINEERING/HDR_Repository_Process.md
REC-0771,REC-0771 — Recovery To Normalization Workflow,HDR/13_PHASE_RECOVERY/Phase_06_to_07x/Engineering/REC-0771_Recovery_To_Normalization_Workflow.md,10_ENGINEERING,10_ENGINEERING/Recovery_To_Normalization_Workflow.md
REC-0772,REC-0772 — Master Index Generation,HDR/13_PHASE_RECOVERY/Phase_06_to_07x/Engineering/REC-0772_Master_Index_Generation.md,10_ENGINEERING,10_ENGINEERING/Master_Index_Generation.md
REC-0773,REC-0773 — Design Freeze Audit,HDR/13_PHASE_RECOVERY/Phase_06_to_07x/Engineering/REC-0773_Design_Freeze_Audit.md,10_ENGINEERING,10_ENGINEERING/Design_Freeze_Audit.md
REC-0796,REC-0796 — Engineering Oath,HDR/13_PHASE_RECOVERY/Phase_06_to_07x/Engineering/REC-0796_Engineering_Oath.md,10_ENGINEERING,13_PHASE_RECOVERY/Normalization_Targets/Engineering_Oath.md
REC-0797,REC-0797 — PR Founder Review Template,HDR/13_PHASE_RECOVERY/Phase_06_to_07x/Engineering/REC-0797_PR_Founder_Review_Template.md,10_ENGINEERING,13_PHASE_RECOVERY/Normalization_Targets/PR_Founder_Review_Template.md
REC-0799,REC-0799 — Broker Independence Principle,HDR/13_PHASE_RECOVERY/Phase_06_to_07x/Engineering/REC-0799_Broker_Independence_Principle.md,10_ENGINEERING,13_PHASE_RECOVERY/Normalization_Targets/Broker_Independence_Principle.md
REC-0610,REC-0610 — Chain of Command,HDR/13_PHASE_RECOVERY/Phase_06_to_07x/Operator_Command/REC-0610_Chain_of_Command.md,04_OPERATOR,04_OPERATOR/Command/Chain_of_Command.md
REC-0611,REC-0611 — Acting Commander States,HDR/13_PHASE_RECOVERY/Phase_06_to_07x/Operator_Command/REC-0611_Acting_Commander_States.md,04_OPERATOR,04_OPERATOR/Command/Acting_Commander_States.md
REC-0612,REC-0612 — Command Transfer Ceremony,HDR/13_PHASE_RECOVERY/Phase_06_to_07x/Operator_Command/REC-0612_Command_Transfer_Ceremony.md,04_OPERATOR,04_OPERATOR/Command/Command_Transfer_Ceremony.md
