id,title,path,volume,category,priority,status
,00_PROJECT,00_PROJECT/README.md,00_PROJECT,,,
,Vision,00_PROJECT/Vision.md,00_PROJECT,,,
,Engineering Decisions,00_PROJECT/Engineering_Decisions.md,00_PROJECT,,,
,Roadmap,00_PROJECT/Roadmap.md,00_PROJECT,,,
,Glossary,00_PROJECT/Glossary.md,00_PROJECT,,,
,Changelog,00_PROJECT/CHANGELOG.md,00_PROJECT,,,
,Coverage Audit v0.2,00_PROJECT/Coverage_Audit_v0_2.md,00_PROJECT,,,
,CHANGELOG v0.2,00_PROJECT/CHANGELOG_v0_2.md,00_PROJECT,,,
,Coverage Audit v0.3,00_PROJECT/Coverage_Audit_v0_3.md,00_PROJECT,,,
,HDR Changelog v0.3,00_PROJECT/CHANGELOG_v0_3.md,00_PROJECT,,,
,CHANGELOG — HDR v0.4 Phase Recovery Release,00_PROJECT/CHANGELOG_v0_4.md,00_PROJECT,,,
,Coverage Audit — v0.4 Phase 0.1 through 2.0,00_PROJECT/Coverage_Audit_v0_4_Phase_0_2.md,00_PROJECT,,,
,Coverage Audit v0.4 — Phase 2.0–3.0,00_PROJECT/Coverage_Audit_v0_4_Phase_2_3.md,00_PROJECT,,,COMPLETE
,CHANGELOG — HDR v0.5 Phase 0–4,00_PROJECT/CHANGELOG_v0_5.md,00_PROJECT,,,
,Coverage Audit — HDR v0.5 Phase 3.0 → 4.0,00_PROJECT/Coverage_Audit_v0_5_Phase_3_4.md,00_PROJECT,,,
,Coverage Audit v0.7 Corrected — Phase 5.0 to Phase 6.0,00_PROJECT/Coverage_Audit_v0_7_corrected_Phase_5_6.md,00_PROJECT,,,
,CHANGELOG — HDR v0.7 Corrected,00_PROJECT/CHANGELOG_v0_7_corrected.md,00_PROJECT,,,
,Master Index Supplement v0.8 — Phase 6.0 to 7.x,00_PROJECT/Master_Index_Supplement_v0_8.md,00_PROJECT,,,
,Coverage Audit v0.8 — Phase 6.0 to 7.x,00_PROJECT/Coverage_Audit_v0_8_Phase_6_7x.md,00_PROJECT,,,Recovery pass complete
,CHANGELOG v0.8,00_PROJECT/CHANGELOG_v0_8.md,00_PROJECT,,,
,CHANGELOG v0.9,00_PROJECT/CHANGELOG_v0_9.md,00_PROJECT,,,
,Headquarters Constitution,01_CONSTITUTION/Constitution.md,01_CONSTITUTION,,,
,Engineering Commandments,01_CONSTITUTION/Engineering_Commandments.md,01_CONSTITUTION,,,
,Rule of Elegance,01_CONSTITUTION/Rule_of_Elegance.md,01_CONSTITUTION,,,
,Founder's Principles,01_CONSTITUTION/Founders_Principles.md,01_CONSTITUTION,,,
,02_INSTITUTION,02_INSTITUTION/README.md,02_INSTITUTION,,,
,Chain of Command,02_INSTITUTION/Chain_of_Command.md,02_INSTITUTION,,,
,Headquarters Building,03_BUILDING/Headquarters.md,03_BUILDING,,,
,Operator Model,04_OPERATOR/Operator_Model.md,04_OPERATOR,,,
,Professional Joe,04_OPERATOR/Professional_Joe.md,04_OPERATOR,,,
