ID,Name,Phase,Category,Priority,Status,Path
PH6-0001,Doctrine Engine,Phase 5.0 to 6.0,Intelligence,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0001_Doctrine_Engine.md
PH6-0002,Doctrine Levels,Phase 5.0 to 6.0,Doctrine,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0002_Doctrine_Levels.md
PH6-0003,Evidence Collection Started State,Phase 5.0 to 6.0,Doctrine,IMPORTANT,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0003_Evidence_Collection_Started_State.md
PH6-0004,Doctrine Printer Ceremony,Phase 5.0 to 6.0,Experience,IMPORTANT,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0004_Doctrine_Printer_Ceremony.md
PH6-0005,Doctrine Chamber,Phase 5.0 to 6.0,Building,IMPORTANT,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0005_Doctrine_Chamber.md
PH6-0006,Rule Graveyard,Phase 5.0 to 6.0,Archives,IMPORTANT,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0006_Rule_Graveyard.md
PH6-0007,Doctrine Wars,Phase 5.0 to 6.0,Research,IMPORTANT,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0007_Doctrine_Wars.md
PH6-0008,Exceptional Authorization,Phase 5.0 to 6.0,Operations,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0008_Exceptional_Authorization.md
PH6-0009,False Rule Detection,Phase 5.0 to 6.0,Intelligence,IMPORTANT,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0009_False_Rule_Detection.md
PH6-0010,Myth Library,Phase 5.0 to 6.0,Archives,IMPORTANT,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0010_Myth_Library.md
PH6-0011,Doctrine Confidence,Phase 5.0 to 6.0,Doctrine,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0011_Doctrine_Confidence.md
PH6-0012,Living SOP,Phase 5.0 to 6.0,Operations,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0012_Living_SOP.md
PH6-0013,Operational Doctrine Trees,Phase 5.0 to 6.0,Doctrine,IMPORTANT,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0013_Operational_Doctrine_Trees.md
PH6-0014,Personal Laws of Nature,Phase 5.0 to 6.0,Intelligence,IMPORTANT,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0014_Personal_Laws_of_Nature.md
PH6-0015,Complacency Division,Phase 5.0 to 6.0,Institution,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0015_Complacency_Division.md
PH6-0016,Success Monitoring,Phase 5.0 to 6.0,Guardian,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0016_Success_Monitoring.md
PH6-0017,Success Drift,Phase 5.0 to 6.0,Behavior,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0017_Success_Drift.md
PH6-0018,Confidence Ceiling,Phase 5.0 to 6.0,Behavior,IMPORTANT,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0018_Confidence_Ceiling.md
PH6-0019,Professional Paradox,Phase 5.0 to 6.0,Constitution,IMPORTANT,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0019_Professional_Paradox.md
PH6-0020,Guardian Phase II Humility Protection,Phase 5.0 to 6.0,Guardian,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0020_Guardian_Phase_II_Humility_Protection.md
PH6-0021,Trophy Room of Evidence,Phase 5.0 to 6.0,Building,IMPORTANT,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0021_Trophy_Room_of_Evidence.md
PH6-0022,Hall of Fallen Giants,Phase 5.0 to 6.0,Building,IMPORTANT,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0022_Hall_of_Fallen_Giants.md
PH6-0023,Success With Warning Classification,Phase 5.0 to 6.0,Archives,IMPORTANT,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0023_Success_With_Warning_Classification.md
PH6-0024,Decay Engine,Phase 5.0 to 6.0,Behavior,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0024_Decay_Engine.md
PH6-0025,Skill Maintenance,Phase 5.0 to 6.0,Academy,IMPORTANT,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0025_Skill_Maintenance.md
PH6-0026,Identity Insurance Policy,Phase 5.0 to 6.0,Operator,IMPORTANT,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0026_Identity_Insurance_Policy.md
PH6-0027,Hall of Future Operators,Phase 5.0 to 6.0,Building,IMPORTANT,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0027_Hall_of_Future_Operators.md
PH6-0028,Annual Review Council,Phase 5.0 to 6.0,Operations,IMPORTANT,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0028_Annual_Review_Council.md
PH6-0029,Legacy Archive,Phase 5.0 to 6.0,Archives,IMPORTANT,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0029_Legacy_Archive.md
PH6-0030,Headquarters Axiom Vote For Future,Phase 5.0 to 6.0,Constitution,IMPORTANT,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0030_Headquarters_Axiom_Vote_For_Future.md
PH6-0031,Professional Identity Management,Phase 5.0 to 6.0,Operator,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0031_Professional_Identity_Management.md
PH6-0032,Headquarters Manifesto,Phase 5.0 to 6.0,Constitution,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_05_to_06/PH6-0032_Headquarters_Manifesto.md
