id,title,category,source_path,canonical_path,target_volume,status,priority,stability
PH0-0001,PH0-0001 — Decision Operating System Identity,Constitution,13_PHASE_RECOVERY/Phase_00_to_01/PH0-0001_Decision_Operating_System_Identity.md,01_CONSTITUTION/Principles/PH0-0001_Decision_Operating_System_Identity.md,01_CONSTITUTION,normalized,CORE,
PH0-0002,PH0-0002 — Chief Risk Officer Mission,Institution,13_PHASE_RECOVERY/Phase_00_to_01/PH0-0002_Chief_Risk_Officer_Mission.md,02_INSTITUTION/Departments/PH0-0002_Chief_Risk_Officer_Mission.md,02_INSTITUTION,normalized,CORE,
PH0-0003,PH0-0003 — TradingView After Authorization Principle,Operations,13_PHASE_RECOVERY/Phase_00_to_01/PH0-0003_TradingView_After_Authorization_Principle.md,01_CONSTITUTION/Principles/PH0-0003_TradingView_After_Authorization_Principle.md,01_CONSTITUTION,normalized,CORE,
PH0-0004,PH0-0004 — Operational Readiness Score,Behavior System,13_PHASE_RECOVERY/Phase_00_to_01/PH0-0004_Operational_Readiness_Score.md,04_OPERATOR/Behavioral_Systems/PH0-0004_Operational_Readiness_Score.md,04_OPERATOR,normalized,CORE,
PH0-0005,PH0-0005 — Mission Integrity Score,Behavior System,13_PHASE_RECOVERY/Phase_00_to_01/PH0-0005_Mission_Integrity_Score.md,04_OPERATOR/Behavioral_Systems/PH0-0005_Mission_Integrity_Score.md,04_OPERATOR,normalized,CORE,
PH0-0006,PH0-0006 — Threat Level System,Guardian,13_PHASE_RECOVERY/Phase_00_to_01/PH0-0006_Threat_Level_System.md,02_INSTITUTION/Departments/PH0-0006_Threat_Level_System.md,02_INSTITUTION,normalized,CORE,
PH0-0007,PH0-0007 — Execution XP,Behavior System,13_PHASE_RECOVERY/Phase_00_to_01/PH0-0007_Execution_XP.md,04_OPERATOR/Behavioral_Systems/PH0-0007_Execution_XP.md,04_OPERATOR,normalized,IMPORTANT,
PH0-0008,PH0-0008 — Account Killer Score,Guardian,13_PHASE_RECOVERY/Phase_00_to_01/PH0-0008_Account_Killer_Score.md,02_INSTITUTION/Departments/PH0-0008_Account_Killer_Score.md,02_INSTITUTION,normalized,CORE,
PH0-0009,PH0-0009 — Edge Quality Score,Authorization,13_PHASE_RECOVERY/Phase_00_to_01/PH0-0009_Edge_Quality_Score.md,05_OPERATIONS/Authorization/PH0-0009_Edge_Quality_Score.md,05_OPERATIONS,normalized,CORE,
PH0-0010,PH0-0010 — Outcome vs Execution Separation,Operations,13_PHASE_RECOVERY/Phase_00_to_01/PH0-0010_Outcome_vs_Execution_Separation.md,10_ENGINEERING/Architecture/PH0-0010_Outcome_vs_Execution_Separation.md,10_ENGINEERING,normalized,CORE,
