ID,Name,Phase,Category,Priority,Status,Path
PH5-0001,Behavioral Engine,Phase 4.0 → Phase 5.0,Intelligence,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_04_to_05/PH5-0001_Behavioral_Engine.md
PH5-0002,Command Chair Engine,Phase 4.0 → Phase 5.0,Operator,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_04_to_05/PH5-0002_Command_Chair_Engine.md
PH5-0003,Command Stability Model,Phase 4.0 → Phase 5.0,Operator,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_04_to_05/PH5-0003_Command_Stability_Model.md
PH5-0004,Behavioral Fingerprints,Phase 4.0 → Phase 5.0,Intelligence,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_04_to_05/PH5-0004_Behavioral_Fingerprints.md
PH5-0005,Identity Drift Engine,Phase 4.0 → Phase 5.0,Operator,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_04_to_05/PH5-0005_Identity_Drift_Engine.md
PH5-0006,Identity Drift Compass Space,Phase 4.0 → Phase 5.0,Operator,IMPORTANT,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_04_to_05/PH5-0006_Identity_Drift_Compass_Space.md
PH5-0007,Ghost Baseline Calibration,Phase 4.0 → Phase 5.0,Intelligence,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_04_to_05/PH5-0007_Ghost_Baseline_Calibration.md
PH5-0008,Commander Evidence Threshold,Phase 4.0 → Phase 5.0,Institution,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_04_to_05/PH5-0008_Commander_Evidence_Threshold.md
PH5-0009,Commander Detects Never Predicts,Phase 4.0 → Phase 5.0,Constitution,FOUNDATIONAL,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_04_to_05/PH5-0009_Commander_Detects_Never_Predicts.md
PH5-0010,Decision Graph,Phase 4.0 → Phase 5.0,Operations,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_04_to_05/PH5-0010_Decision_Graph.md
PH5-0011,Behavioral Gravity,Phase 4.0 → Phase 5.0,Operator,IMPORTANT,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_04_to_05/PH5-0011_Behavioral_Gravity.md
PH5-0012,Career Brain,Phase 4.0 → Phase 5.0,Archives,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_04_to_05/PH5-0012_Career_Brain.md
