id,name,phase,category,priority,status,path
PH0-0001,Decision Operating System Identity,Phase 0.1–1.0,Constitution,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0001_Decision_Operating_System_Identity.md
PH0-0002,Chief Risk Officer Mission,Phase 0.1–1.0,Institution,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0002_Chief_Risk_Officer_Mission.md
PH0-0003,TradingView After Authorization Principle,Phase 0.1–1.0,Operations,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0003_TradingView_After_Authorization_Principle.md
PH0-0004,Operational Readiness Score,Phase 0.1–1.0,Behavior System,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0004_Operational_Readiness_Score.md
PH0-0005,Mission Integrity Score,Phase 0.1–1.0,Behavior System,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0005_Mission_Integrity_Score.md
PH0-0006,Threat Level System,Phase 0.1–1.0,Guardian,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0006_Threat_Level_System.md
PH0-0007,Execution XP,Phase 0.1–1.0,Behavior System,IMPORTANT,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0007_Execution_XP.md
PH0-0008,Account Killer Score,Phase 0.1–1.0,Guardian,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0008_Account_Killer_Score.md
PH0-0009,Edge Quality Score,Phase 0.1–1.0,Authorization,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0009_Edge_Quality_Score.md
PH0-0010,Outcome vs Execution Separation,Phase 0.1–1.0,Operations,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0010_Outcome_vs_Execution_Separation.md
PH0-0011,Mission State Machine,Phase 0.1–1.0,HQOS,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0011_Mission_State_Machine.md
PH0-0012,Mission History Not Trade History,Phase 0.1–1.0,Archives,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0012_Mission_History_Not_Trade_History.md
PH0-0013,Operation Codename Generator,Phase 0.1–1.0,Experience,IMPORTANT,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0013_Operation_Codename_Generator.md
PH0-0014,Learning Loop Weekly Review,Phase 0.1–1.0,Academy,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0014_Learning_Loop_Weekly_Review.md
PH1-0001,SOP-001 Mission Start Procedure,Phase 1.0–2.0,SOP,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0001_SOP-001_Mission_Start_Procedure.md
PH1-0002,SOP-002 Market Preparation Procedure,Phase 1.0–2.0,SOP,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0002_SOP-002_Market_Preparation_Procedure.md
PH1-0003,SOP-003 Standby Procedure,Phase 1.0–2.0,SOP,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0003_SOP-003_Standby_Procedure.md
PH1-0004,SOP-004 Mission Authorization,Phase 1.0–2.0,SOP,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0004_SOP-004_Mission_Authorization.md
PH1-0005,SOP-005 Trade Management,Phase 1.0–2.0,SOP,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0005_SOP-005_Trade_Management.md
PH1-0006,SOP-006 Losing Trade Procedure,Phase 1.0–2.0,SOP,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0006_SOP-006_Losing_Trade_Procedure.md
PH1-0007,SOP-007 Winning Trade Procedure,Phase 1.0–2.0,SOP,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0007_SOP-007_Winning_Trade_Procedure.md
PH1-0008,SOP-008 Profit Defense Procedure,Phase 1.0–2.0,SOP,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0008_SOP-008_Profit_Defense_Procedure.md
PH1-0009,SOP-009 Damage Control Procedure,Phase 1.0–2.0,SOP,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0009_SOP-009_Damage_Control_Procedure.md
PH1-0010,SOP-010 Weekend Protocol,Phase 1.0–2.0,SOP,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0010_SOP-010_Weekend_Protocol.md
PH1-0011,SOP-011 Drawdown Recovery Procedure,Phase 1.0–2.0,SOP,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0011_SOP-011_Drawdown_Recovery_Procedure.md
PH1-0012,SOP-012 Winning Streak Protocol,Phase 1.0–2.0,SOP,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0012_SOP-012_Winning_Streak_Protocol.md
PH1-0013,SOP-013 Re-entry Protocol,Phase 1.0–2.0,SOP,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0013_SOP-013_Re-entry_Protocol.md
PH1-0014,SOP-014 Missed Trade Protocol,Phase 1.0–2.0,SOP,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0014_SOP-014_Missed_Trade_Protocol.md
PH1-0015,SOP Versioning,Phase 1.0–2.0,Doctrine,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0015_SOP_Versioning.md
PH1-0016,Rule Provenance,Phase 1.0–2.0,Doctrine,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0016_Rule_Provenance.md
PH1-0017,Rule Book Living Operations Manual,Phase 1.0–2.0,Doctrine,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0017_Rule_Book_Living_Operations_Manual.md
PH2-0001,Cold Boot Sequence,Phase 1.3–2.0,Experience,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0001_Cold_Boot_Sequence.md
PH2-0002,Operator Identity File,Phase 1.3–2.0,Operator,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0002_Operator_Identity_File.md
PH2-0003,Theater System,Phase 1.3–2.0,Operations,IMPORTANT,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0003_Theater_System.md
PH2-0004,Tactical Silence,Phase 1.3–2.0,Experience,CORE,SPECIFIED,HDR/13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0004_Tactical_Silence.md
